chroma_stft,rms,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,label
0.38550368,0.0470424,3934.6052492283047,2971.491407495785,6977.64295212766,0.1235455452127659,-263.36118,128.34798,-86.4807,51.00867,-38.2197,18.037731,-16.154026,-21.070942,-0.88728017,-20.362013,7.501946,-16.960348,3.4518998,-12.154354,-17.097204,-4.374433,-11.62243,5.860793,-3.9918292,4.169533,REAL
0.4381131,0.013864744,3624.605020640588,3878.7389129314256,6741.273271276596,0.091786486037234,-420.31552,135.73752,-65.18526,35.402103,-14.453635,5.2381687,-5.8708353,-30.686867,0.8628712,-18.995783,5.6699934,-15.653926,-1.2922494,-9.600526,-12.008056,-1.860633,-7.3134174,-8.288868,-6.338605,-0.20698015,REAL
0.3167559,0.02782321,2630.304607696838,3312.189952960888,4965.259308510638,0.0532953789893617,-391.02457,151.79663,-45.320717,29.97494,-21.691376,-7.912264,-17.987808,-15.490848,2.2283893,-9.661778,-2.120572,-22.94866,-1.1529117,-5.191183,-12.537034,2.614972,-0.075994596,-0.060529273,-5.844066,-3.6276155,REAL
0.38968763,0.033732142,3418.072068951906,3243.490205046361,6109.208776595745,0.0948304521276595,-337.70734,137.89635,-60.844498,35.107117,-32.261806,19.321445,-7.985894,-19.558851,-5.9426317,-19.5058,3.5862765,-18.007244,0.6236203,-5.260609,-12.8306875,-3.8492246,-7.388632,3.3365424,-6.766743,0.26439422,REAL
0.34477597,0.024416076,2347.137400809416,2866.789982401172,4261.635638297872,0.0515812001329787,-365.2132,170.95853,-65.53502,15.701153,-33.24348,-1.9336777,-10.249574,-22.657225,7.805975,-15.118947,5.64915,-17.327229,-4.975333,-1.9567893,-10.177569,-1.070736,-8.618707,-1.6446363,-1.9626778,-4.79118,REAL
0.37283704,0.0557971,1921.8381428595733,1944.084451725512,3192.2373670212764,0.0472541971409574,-286.48743,194.00932,-118.5355,-18.384035,-58.81365,-42.010803,-18.401438,-27.571808,5.7338166,-10.55465,-0.043388255,-1.2304711,-8.079996,-5.516413,-16.65701,-5.720848,-4.8322086,-6.6106715,-0.67842877,-6.743591,REAL
0.4405722,0.040661998,1915.3923658710708,1914.046001332484,3170.7945478723404,0.0494254903590425,-315.27927,199.19864,-125.52266,-22.232939,-54.755936,-48.58149,-12.360342,-34.445286,6.7827816,-11.366533,0.10824781,0.301893,-9.688803,-3.7793097,-10.235693,-3.4198275,0.03549964,-6.6968904,-1.432469,-11.9560375,REAL
0.49888876,0.02563956,2070.6168936158806,2199.039799961363,3507.646276595745,0.0525941240026595,-340.5097,194.81473,-114.93882,-15.237358,-50.669243,-44.052044,-7.022793,-35.66632,5.128164,-17.325743,1.6025817,-4.990725,-7.809253,-1.8478605,-10.7026415,-3.9134886,-1.0744745,-6.5812664,-1.5142374,-6.397775,REAL
0.41511518,0.016206482,2419.065548270192,2569.750649649536,4129.98670212766,0.0615753823138297,-362.607,181.00513,-107.38083,-1.4405503,-45.248524,-30.365358,-8.756169,-38.31266,10.647441,-26.836489,6.8184085,-9.787762,-5.139902,-3.1367528,-12.354426,2.9444685,-10.099582,-2.1200328,-4.525432,-7.2356095,REAL
0.48078462,0.012924269,2493.41903602734,2657.723743858899,4455.867686170212,0.0631648936170212,-370.2114,182.3688,-105.90945,1.5770029,-43.652714,-24.354443,-0.07372822,-39.17204,13.887042,-26.503963,6.8300424,-13.755275,-3.434837,-2.205021,-11.356628,5.7244687,-14.069803,-2.2935116,-7.163488,-5.325849,REAL
0.40717614,0.03947839,2865.725688037744,2804.782115973336,5203.374335106383,0.0717513713430851,-295.78656,149.16063,-80.46627,21.804638,-24.993725,13.10403,-11.730561,-23.753712,2.006089,-14.274428,3.1692154,-18.247452,-5.277392,-1.4659908,-13.391825,-1.568384,-10.093214,-4.2535625,-5.1852202,-0.30063716,REAL
0.3436088,0.0405401,3541.325309254281,3233.374693225019,7041.722074468085,0.0938227227393617,-315.7784,133.88803,-69.93565,35.364807,-39.784336,15.017295,-13.979831,-19.353304,3.522177,-25.466646,1.2445344,-23.13944,-0.08156456,4.215741,-15.673527,0.012625268,-6.9663835,5.069881,-5.3950152,-9.290799,REAL
0.40428892,0.025274277,3728.6249433293847,2930.5552679360344,6361.535904255319,0.1126059674202127,-352.93857,130.02762,-74.62838,40.124794,-43.02108,-10.713048,-9.309934,-9.0054455,2.4415967,-20.337671,0.40891886,-12.401876,9.054074,1.080694,-6.730041,-2.1329684,-10.626967,-4.452835,-10.02733,-0.8393113,REAL
0.43739793,0.018991562,3173.3723541485424,2843.930726048108,5663.397606382979,0.0937188331117021,-335.25702,159.55191,-100.75489,18.51686,-58.986916,-21.629652,-11.373521,-23.665981,7.877025,-20.832323,15.526238,-12.145644,7.072249,-9.690321,-13.9098215,-3.9556336,-12.663986,1.2276813,-4.6566434,0.11459713,REAL
0.3579206,0.05030291,2373.7534004635386,2467.501167842271,4374.335106382979,0.0590976146941489,-287.7753,181.38281,-95.659035,10.38192,-49.64517,-9.292127,-10.391098,-29.123241,1.6512102,-7.8746386,5.688609,-12.784704,-2.6492047,-4.5959134,-15.475795,-6.288943,-3.792914,1.9357748,-11.450835,-3.3246179,REAL
